Method,Size (N),Elapsed (s)
1,1000.0,0.0001980999950319
1,10000.0,0.0004931000003125
1,100000.0,0.0054292999848257
1,1000000.0,0.0715709000069182
1,10000000.0,0.6697972999827471
1,100000000.0,6.688812299980782
2,1000.0,0.007718599983491
2,10000.0,0.0728514000074938
2,100000.0,0.7290410999848973
2,1000000.0,7.561884599999757
2,10000000.0,75.71775400001206
2,100000000.0,754.7373212999955
3,1000.0,1.2386090999934822
3,10000.0,1.3103611000115052
3,100000.0,1.6550988999952096
3,1000000.0,5.971304599981522
3,10000000.0,63.38814480000292
3,100000000.0,734.8027982000203
